From	To
Q9VE08	FBgn0038675
Q9W281	FBgn0034704
Q9W1V1	FBgn0034817
Q9W127	FBgn0035044
Q0E8J0	FBgn0035357
Q8T078	FBgn0035357
Q9VZS1	FBgn0035425
Q8SX86	FBgn0035461
Q9VBL2	FBgn0039380
Q8IGU5	FBgn0039667
Q8T0K1	FBgn0039667
Q9VAK7	FBgn0039667
Q9VZH1	FBgn0040696
P23573	FBgn0004107
Q9N2P6	FBgn0053200
Q9I7P3	FBgn0037280
Q8T0P7	FBgn0037518
Q9VI00	FBgn0037518
Q9VBP9	FBgn0039348
Q9VXF1	FBgn0267912
O97468	FBgn0025790
O97469	FBgn0025790
Q8SXP8	FBgn0025790
Q9W1I0	FBgn0025790
Q8MSM3	FBgn0035693
Q9VRV9	FBgn0035693
Q9VYI0	FBgn0086675
Q9VXT7	FBgn0030653
Q7KS38	FBgn0039129
Q95SB0	FBgn0031479
Q9GPQ2	FBgn0031479
Q9VQI7	FBgn0031479
Q9VIP1	FBgn0032847
Q8T5S9	FBgn0050021
Q9I7K0	FBgn0051363
Q9V9N4	FBgn0032979
Q8SY19	FBgn0025814
Q8SWX9	FBgn0039543
Q9VB02	FBgn0039543
Q9VGQ0	FBgn0026063
Q0E9A5	FBgn0033757
Q8MR83	FBgn0033757
Q8WSN1	FBgn0033757
Q9VC60	FBgn0039210
Q960X8	FBgn0031450
O96989	FBgn0026143
Q9VJ39	FBgn0032721
Q9VJG0	FBgn0026150
Q9VWC4	FBgn0026175
Q07171	FBgn0010225
Q9VC08	FBgn0039250
P42787	FBgn0004648
P52485	FBgn0015320
Q8SXG7	FBgn0031607
Q05652	FBgn0010441
Q27889	FBgn0011826
Q7JZ25	FBgn0033755
Q967S0	FBgn0041194
Q9VRZ1	FBgn0041194
Q8SX44	FBgn0053969
P26686	FBgn0004587
Q9VRB3	FBgn0031126
Q9W1E5	FBgn0002791
Q24139	FBgn0010105
Q9W214	FBgn0020257
O96838	FBgn0028741
Q9V396	FBgn0027844
Q9VXF9	FBgn0030753
Q9VWD9	FBgn0031057
Q9VFE3	FBgn0028662
P45891	FBgn0011743
Q24567	FBgn0015773
Q29QQ9	FBgn0034065
Q9VXN8	FBgn0030696
Q9VQ22	FBgn0031347
Q9VXL4	FBgn0030711
Q9VXE5	FBgn0025743
Q9VM79	FBgn0031861
A1ZAJ2	FBgn0267002
Q7YU51	FBgn0035308
Q9W049	FBgn0035308
Q9VTM2	FBgn0036194
Q9VPW2	FBgn0031298
Q9VP22	FBgn0037093
Q8SYC8	FBgn0032487
Q9VK19	FBgn0032487
Q9VP13	FBgn0037102
A1Z6W5	FBgn0033153
Q8MYS8	FBgn0033153
Q7KML2	FBgn0027572
Q9V3G3	FBgn0028382
Q9V4T3	FBgn0033292
Q7JVG6	FBgn0033225
Q9VVK7	FBgn0052190
Q9VBI0	FBgn0039404
Q8MS69	FBgn0031832
Q9VBH7	FBgn0039407
Q9VBF5	FBgn0039425
Q8SY20	FBgn0036810
Q9VVS3	FBgn0036810
P40304	FBgn0002284
Q9V7D2	FBgn0022097
Q95S58	FBgn0001316
Q9W0Q4	FBgn0001316
Q9Y0E4	FBgn0001316
Q07327	FBgn0004574
Q7K3Z8	FBgn0032029
Q9W1V2	FBgn0034816
Q7KU87	FBgn0035802
Q7KU88	FBgn0035802
Q7KU89	FBgn0035802
Q86NW6	FBgn0035802
Q8MSF1	FBgn0035802
O96816	FBgn0026059
Q7K523	FBgn0026059
Q8IH49	FBgn0026059
Q8INC1	FBgn0026059
Q8INC3	FBgn0026059
Q8T6M0	FBgn0026059
Q9VEZ0	FBgn0026059
P08570	FBgn0002593
P12297	FBgn0003638
A1Z850	FBgn0010531
Q9BLY4	FBgn0010531
P61857	FBgn0003889
A1Z714	FBgn0004133
Q9VPT5	FBgn0031282
Q7KJV5	FBgn0029512
Q7KSM5	FBgn0029512
Q9VG70	FBgn0029512
Q9VTZ4	FBgn0036298
P07140	FBgn0000024
P19107	FBgn0000121
P26802	FBgn0004556
Q9W2N0	FBgn0034577
Q9VRJ4	FBgn0035588
Q9VNH5	FBgn0037372
Q9W3F1	FBgn0030041
Q9VUZ0	FBgn0011016
P41093	FBgn0010409
P25008	FBgn0004597
Q8INI8	FBgn0013277
O17144	FBgn0022936
O76513	FBgn0022936
Q9V5L3	FBgn0033524
Q9VK14	FBgn0032492
Q9Y1I2	FBgn0000257
Q95SE0	FBgn0030082
Q9W396	FBgn0030082
Q8SYT1	FBgn0031813
Q9VMD7	FBgn0031813
Q9VKH6	FBgn0032358
Q8IGE6	FBgn0036030
Q9VT32	FBgn0036030
Q9VT33	FBgn0036030
O46341	FBgn0023130
Q9VWN2	FBgn0030976
Q9VP46	FBgn0037074
Q9VI15	FBgn0037439
O46085	FBgn0023516
P11146	FBgn0001217
Q7KW08	FBgn0023516
Q9V359	FBgn0021814
Q4V5U6	FBgn0035504
Q9VTU3	FBgn0036257
P25028	FBgn0000927
Q86B83	FBgn0053099
Q9W3N9	FBgn0029969
Q9W3G8	FBgn0030029
O77425	FBgn0025640
Q95R49	FBgn0036838
Q9VVV7	FBgn0036838
Q961M0	FBgn0039321
Q9VBS7	FBgn0039321
O76752	FBgn0014032
Q76NR6	FBgn0030362
Q9VYR1	FBgn0030362
A1ZA18	FBgn0019968
O01349	FBgn0019968
Q9XZ19	FBgn0027524
Q9VKG8	FBgn0032363
Q7K4Q5	FBgn0033021
Q7K1Q7	FBgn0033485
Q86NX6	FBgn0034688
Q9W299	FBgn0034688
Q8SZ80	FBgn0036786
Q9VVP8	FBgn0036786
Q9VV76	FBgn0036643
Q9VYD6	FBgn0030481
Q94981	FBgn0017418
Q9V9R2	FBgn0032956
Q9VGI8	FBgn0002906
P48588	FBgn0086472
Q5U127	FBgn0036534
Q86NM7	FBgn0036534
Q9VUU4	FBgn0036534
