Proteins,C1,C2,C3,C4,C5,Labels
O46339,0.0067304611058859425,0.004748713889988128,0.3859317766907041,0.00048523111225832685,7.59790400050763e+35,0
Q9VVI1,0.0006111725194089864,0.001266323703996834,0.3840795366005608,0.00016140167995469726,3.7454591024511076e+35,0
P42519,0.0005262799992177889,0.0034032449544914916,0.382806676482391,0.0018726562145438528,3.6709692466625025e+35,0
Q9V3P6,0.007287124407662936,0.0037198258804907003,0.3806171017839932,0.00033201794528305516,9.823943480759195e+35,1
Q9VMT2,0.015209485894369242,0.0021369212504946575,0.38066443486054025,6.822642950527699e-06,9.399319717755226e+35,0
A1ZA28,0.008937303643800059,0.001266323703996834,0.3784641304181898,2.000668296850493e-05,3.575742578125153e+35,0
Q8T407,0.010779201279045593,0.0007914523149980214,0.3775189327934288,2.005810561372714e-06,2.9384918431623068e+35,0
Q8T4I1,0.011479368163132947,0.0004748713889988128,0.3758732631554651,6.32209733718152e-08,2.52552933736713e+35,0
Q9VPU5,0.011936016521792093,0.0007123070834982192,0.37660161009132864,7.896468997720647e-07,2.785528802995861e+35,0
Q8T079,0.008079659752329165,0.0015829046299960427,0.3806052703540341,0.0005546750778116052,3.62439480305119e+35,0
Q8T3P0,0.010950697360180665,0.0003957261574990107,0.37585018716546265,1.0274166247125954e-07,2.3711268930127428e+35,0
Q9VNX4,0.006250006692859879,0.0005540166204986149,0.3785928557338757,6.848794206508945e-06,2.8362590750119516e+35,0
Q9VHX4,0.012919788662075282,0.001187178472497032,0.3775072931889152,1.2584220671651405e-05,5.807643119148674e+35,0
Q8MRU7,0.013996620175565756,0.0013454689354966362,0.37804345891346414,3.8513294911793645e-06,3.685480028796182e+35,0
Q9VAC7,0.011391823353994157,0.0022952117134942616,0.3805579519888505,8.5716973536671e-05,4.517586571871696e+35,0
A1Z7L0,0.010682578628904999,0.0005540166204986149,0.376335378739489,1.256392580724604e-05,2.509009744751441e+35,0
Q9V3C0,0.005017167370500494,0.0017411950929956468,0.3900876623961156,0.00016852572630267682,5.01532596516674e+35,0
Q9VG03,0.013092953234576715,0.004590423426988523,0.3865775754519394,0.0008659290369064593,8.480948553546165e+35,0
Q9V3F2,0.0001444009398636684,0.0016620498614958448,0.3831300941012977,0.0007506410632848606,4.298038939065003e+35,0
Q9VW52,0.0028258603967251934,0.008231104075979422,0.3880354803603117,0.000609722955531323,1.1712317838178287e+36,0
Q9VWG2,0.006696356531888587,0.0018994855559952512,0.3779034428175703,0.0006264072393092763,2.7082418092757923e+35,0
Q7K4K7,0.005297418405867366,0.0018203403244954491,0.38016802394787697,0.00022703263987022677,4.747440601289625e+35,0
Q8INW5,0.007077032004683065,0.0005540166204986149,0.376023326186637,3.985890700169211e-07,2.4874717148449637e+35,0
Q9I7M3,0.007077032004683065,0.0005540166204986149,0.376023326186637,3.985890700169211e-07,2.4874717148449637e+35,0
Q9VIW5,0.007077032004683065,0.0005540166204986149,0.376023326186637,3.985890700169211e-07,2.4874717148449637e+35,0
P18431,0.01979325540394174,0.05619311436485951,0.4244339831977703,0.03189824129629558,1.5723697413415162e+37,0
Q8MRX9,0.010841672856822453,0.0003957261574990107,0.37619662479765503,1.801400690703265e-07,2.4210692026155784e+35,0
Q9VPR6,0.007604746809056399,0.0008705975464978234,0.37769361303255217,9.517720846586569e-05,2.788083495942564e+35,0
A1ZAI5,0.00017784142676302502,0.0002374356944994064,0.37540077101083136,3.6447787470946624e-09,2.217265555958858e+35,0
Q0E8X6,0.011091691995884768,0.0005540166204986149,0.3782186250050745,1.6544771279447026e-06,2.9950123765226438e+35,0
Q8MPP1,0.0108108422289372,0.0003957261574990107,0.37646265979858795,2.88289103634401e-07,2.5240459441376468e+35,0
Q9W1Q8,0.006742847255729943,0.0005540166204986149,0.3782186250050745,1.6544771279447026e-06,2.9950123765226438e+35,0
Q9VZI1,0.04021440453469406,0.01369212504946577,0.3961072610814686,0.0003887313076139566,1.1404768534865324e+37,0
Q9VEC3,0.006749336622908111,0.001266323703996834,0.3812808378939768,7.209297624380041e-05,3.3989580158881316e+35,0
Q9VM11,0.00716982359767041,0.0007914523149980214,0.37776353039890403,1.0115992998717902e-05,2.7008961121063555e+35,0
Q9VNS1,0.009408259914816648,0.0008705975464978234,0.37852263107210177,1.4226889492527152e-05,3.226586575024042e+35,0
Q7K568,0.010170486427748857,0.0003165809259992085,0.37564263068842696,4.2185559399307306e-08,2.2794162250647837e+35,0
Q8T3V5,0.010981336391396177,0.000633161851998417,0.3769378304740719,1.1463924919350019e-06,2.8906964807563444e+35,0
Q9VUG5,0.008992546316951334,0.0010288880094974277,0.37779849879012856,3.790794723212349e-06,3.3515180335091385e+35,0
Q7JY26,0.010177954589356261,0.001187178472497032,0.3759309655292993,2.9278017497227893e-05,2.993944123815886e+35,0
Q8T3I5,0.0115452102563969,0.0016620498614958448,0.37943758862342425,1.4165000791802444e-05,3.628466835378849e+35,0
Q9VXQ6,0.008437629664063672,0.0019786307874950534,0.38855266397846144,0.00021267915674144232,5.101135832273723e+35,0
Q9VBV5,0.00019381693357229727,0.0016620498614958448,0.3786396866527284,0.00046302646438357636,3.695149012320154e+35,0
Q9VY78,0.00864495224354843,0.0022952117134942616,0.3820899219001178,0.0003333812337499346,8.96790103833775e+35,0
Q9VUY2,0.01180904588983124,0.0015037593984962405,0.3818158771139228,2.064146316925574e-05,4.100801828571177e+35,0
Q9VTU9,0.007905539312730994,0.0007914523149980214,0.3781251828939587,4.360645775410849e-06,3.227725649284945e+35,0
Q9W4M8,0.00847389262770637,0.002453502176493866,0.3810435237073811,5.872946074054866e-05,4.5169402316376255e+35,0
A1ZBJ2,0.010531364167384438,0.0004748713889988128,0.37847582910232375,2.5440701852607635e-05,2.5080652301567302e+35,0
Q8T431,0.015006701744374174,0.0017411950929956468,0.38136396770975134,1.2583319185722745e-05,4.384182446469292e+35,0
Q9VV90,0.012058356968102745,0.0019786307874950534,0.383238021449475,3.812101821374477e-05,4.8878704203534014e+35,0
Q9VNJ0,0.006655653383577843,0.003086664028492283,0.3814590176113551,0.000757981167852988,4.175849668211802e+35,0
Q2PDW6,0.0018380863001627892,0.0022160664819944596,0.3825435544502539,0.0001310771607750489,5.6364066499177266e+35,0
Q7JZ53,0.00042456619048763286,0.0014246141669964384,0.37969645384963796,1.5009477400843748e-05,4.403670310834039e+35,0
Q9VQK7,0.0015076486999661466,0.0018994855559952512,0.3832020389111566,9.765050099369818e-05,4.998548405761034e+35,0
Q9VDS5,0.01268965963799924,0.004669568658488326,0.3847916891039999,0.0006931527345156207,6.578379532706487e+35,0
P48612,0.00545963104112118,0.0009497427779976256,0.37746074194738505,0.00019603126186960726,2.7693852964281643e+35,0
Q9VH90,0.007010085231182118,0.0018994855559952512,0.3815422251500195,0.00010564528632479257,4.130806741652655e+35,0
Q9VW58,0.00736813740314172,0.0013454689354966362,0.3772862769940923,3.0740702600088814e-05,3.365927981243701e+35,0
Q9VFB6,0.005912883082059471,0.0008705975464978234,0.3780551316049426,3.54173899671513e-06,3.099494321023124e+35,0
Q0E996,0.010499473373126548,0.0016620498614958448,0.3882200306696241,0.0001005406753176068,5.540794652898011e+35,0
Q8MQS4,0.008431927192403842,0.0005540166204986149,0.3765552819316421,4.7802194609367755e-06,2.5289457552661044e+35,0
Q9I7U4,0.00468222501673717,0.0018203403244954491,0.3852638855696572,9.389512241710887e-05,5.001718916361941e+35,0
Q9VU77,0.00702299354807935,0.000633161851998417,0.3770190770812069,0.00014875380487272254,2.40000316458403e+35,0
Q9VIS0,3.368513279612322e-05,0.0004748713889988128,0.3756541555896569,8.807933024526036e-05,2.2641145809170177e+35,0
P48601,0.014899939826345274,0.006569054214483577,0.3933206407738283,0.00030911615593465653,2.318563273928991e+36,1
Q9VND4,0.00859503049576282,0.0007123070834982192,0.3775771415841025,4.5683706342152644e-05,2.674757328926819e+35,0
Q9VX98,0.007149323127844932,0.0026117926394934703,0.3821376220245709,0.00034895091635001166,4.106343986857571e+35,0
Q9XZS4,0.0016710189334661382,0.002928373565492679,0.3864921574270605,0.00035720652385093875,4.6793431958340535e+35,1
Q9VAN6,0.007985787755099998,0.0013454689354966362,0.3773909366073627,3.209817009033305e-05,5.634282112645379e+35,0
Q8IRD3,0.01989270999914812,0.008468539770478829,0.3880231832447877,0.00026752043506589616,5.994236972344533e+36,0
Q8IRD4,0.030105589747023452,0.008468539770478829,0.3880231832447877,0.00026752043506589616,5.994236972344533e+36,0
Q9VZQ8,0.030105589747023452,0.008468539770478829,0.3880231832447877,0.00026752043506589616,5.994236972344533e+36,0
Q9VED8,0.0009144529417100187,0.0007914523149980214,0.3787919671850414,2.258095943636788e-06,3.761862937190448e+35,0
Q9W1U2,0.007133814824575073,0.0003957261574990107,0.3825435544502539,6.365339653181096e-06,3.0318722862204963e+35,0
Q9VBM1,0.008693455706748602,0.0005540166204986149,0.37767031299473397,7.671112872029424e-07,2.5764217930524048e+35,0
Q9GYU7,0.00936472842994644,0.00554016620498615,0.3858223269982441,0.0005832354590103682,7.33457456536313e+35,0
Q9VS46,0.007772773761883846,0.0020577760189948555,0.38072361776396996,9.540497517356955e-05,4.550401107147077e+35,0
Q9Y0H4,0.0066122821306838254,0.0016620498614958448,0.3833100068024067,7.110642755806813e-05,4.148383233694758e+35,0
Q8SZ43,0.009878466696696592,0.0013454689354966362,0.3790382177286715,1.8843352488296647e-05,3.36062148955682e+35,0
Q9VID5,0.010086232246261775,0.0015829046299960427,0.3882200306696241,6.955317353544047e-05,4.843197206698823e+35,0
Q8IQX5,0.009741011766213588,0.0009497427779976256,0.37740256903767455,1.637652300080806e-06,3.119189017556612e+35,0
Q8MQZ6,0.012109693500220743,0.0007123070834982192,0.3763585143481781,2.371802105272358e-07,2.807795070328768e+35,0
Q9VWQ7,0.008070556572411746,0.0009497427779976256,0.37740256903767455,1.637652300080806e-06,3.119189017556612e+35,0
Q9VSP8,0.00834031449521304,0.002770083102493075,0.381067241831542,0.000384557557593843,4.111975788194341e+35,0
P48596,0.008688846467415001,0.001266323703996834,0.3772281578436526,0.0001501620286598392,3.2283723556468693e+35,0
Q9VV11,0.011673370239956486,0.0017411950929956468,0.3786162697451769,0.00011166082549397192,3.6214783187669764e+35,0
Q86BK4,0.008145952192147077,0.0007123070834982192,0.37723978024122,4.742292536920253e-05,2.7069993053233683e+35,0
Q95RS2,0.009901755801685598,0.000633161851998417,0.3771932949474531,1.3492566651122106e-05,2.703811707790679e+35,0
Q9VIR9,0.00812672900792526,0.0007123070834982192,0.37723978024122,4.742292536920253e-05,2.7069993053233683e+35,0
Q8IN96,0.008479781338243451,0.0002374356944994064,0.3761041789982883,0.0,2.3181352428507475e+35,0
Q9VEJ3,0.00715955040957932,0.0002374356944994064,0.3761041789982883,0.0,2.3181352428507475e+35,0
