locus,symbols,datasets,datasetIDs,essentiality status,essentiality consensus
FBgn0029157,,1,347,NE,Nonessential
FBgn0029158,,1,347,NE,Nonessential
FBgn0029161,,1,347,NE,Nonessential
FBgn0029167,,1,347,NE,Nonessential
FBgn0029170,,1,347,NE,Nonessential
FBgn0029172,,1,347,NE,Nonessential
FBgn0029173,,1,347,NE,Nonessential
FBgn0029174,,1,347,NE,Nonessential
FBgn0029175,,1,347,NE,Nonessential
FBgn0029176,,1,347,NE,Nonessential
FBgn0029501,,1,347,NE,Nonessential
FBgn0029502,,1,347,NE,Nonessential
FBgn0029503,,1,347,NE,Nonessential
FBgn0029504,,1,347,NE,Nonessential
FBgn0029506,,1,347,NE,Nonessential
FBgn0029507,,1,347,NE,Nonessential
FBgn0029508,,1,347,NE,Nonessential
FBgn0029512,,1,347,NE,Nonessential
FBgn0029514,,1,347,NE,Nonessential
FBgn0029518,,1,347,NE,Nonessential
FBgn0029521,,1,347,NE,Nonessential
FBgn0029522,,1,347,NE,Nonessential
FBgn0029524,,1,347,NE,Nonessential
FBgn0029525,,1,347,NE,Nonessential
FBgn0029529,,1,347,NE,Nonessential
FBgn0029531,,1,347,NE,Nonessential
FBgn0029532,,1,347,NE,Nonessential
FBgn0029535,,1,347,NE,Nonessential
FBgn0029538,,1,347,NE,Nonessential
FBgn0029539,,1,347,NE,Nonessential
FBgn0029552,,1,347,NE,Nonessential
FBgn0029568,,1,347,NE,Nonessential
FBgn0029573,,1,347,NE,Nonessential
FBgn0029580,,1,347,NE,Nonessential
FBgn0029587,,1,347,NE,Nonessential
FBgn0029588,,1,347,NE,Nonessential
FBgn0029589,,1,347,NE,Nonessential
FBgn0029590,,1,347,NE,Nonessential
FBgn0029594,,1,347,NE,Nonessential
FBgn0029596,,1,347,NE,Nonessential
FBgn0029603,,1,347,NE,Nonessential
FBgn0029606,,1,347,NE,Nonessential
FBgn0029608,,1,347,NE,Nonessential
FBgn0029629,,1,347,NE,Nonessential
FBgn0029639,,1,347,NE,Nonessential
FBgn0029642,,1,347,NE,Nonessential
FBgn0029643,,1,347,NE,Nonessential
FBgn0029644,,1,347,NE,Nonessential
FBgn0029645,,1,347,NE,Nonessential
FBgn0029646,,1,347,NE,Nonessential
FBgn0029647,,1,347,NE,Nonessential
FBgn0029648,,1,347,NE,Nonessential
FBgn0029649,,1,347,NE,Nonessential
FBgn0029656,,1,347,NE,Nonessential
FBgn0029657,,1,347,NE,Nonessential
FBgn0029658,,1,347,NE,Nonessential
FBgn0029659,,1,347,NE,Nonessential
FBgn0029660,,1,347,NE,Nonessential
FBgn0029661,,1,347,NE,Nonessential
FBgn0029662,,1,347,NE,Nonessential
FBgn0029663,,1,347,NE,Nonessential
FBgn0029664,,1,347,NE,Nonessential
FBgn0029665,,1,347,NE,Nonessential
FBgn0029666,,1,347,NE,Nonessential
FBgn0029667,,1,347,NE,Nonessential
FBgn0029669,,1,347,NE,Nonessential
FBgn0029672,,1,347,NE,Nonessential
FBgn0029676,,1,347,NE,Nonessential
FBgn0029679,,1,347,NE,Nonessential
FBgn0029681,,1,347,NE,Nonessential
FBgn0029685,,1,347,NE,Nonessential
FBgn0029686,,1,347,NE,Nonessential
FBgn0029687,,1,347,NE,Nonessential
FBgn0029688,,1,347,NE,Nonessential
FBgn0029689,,1,347,NE,Nonessential
FBgn0029690,,1,347,NE,Nonessential
FBgn0029692,,1,347,NE,Nonessential
FBgn0029693,,1,347,NE,Nonessential
FBgn0029694,,1,347,NE,Nonessential
FBgn0029696,,1,347,NE,Nonessential
FBgn0029697,,1,347,NE,Nonessential
FBgn0029700,,1,347,NE,Nonessential
FBgn0029701,,1,347,NE,Nonessential
FBgn0029702,,1,347,NE,Nonessential
FBgn0029703,,1,347,NE,Nonessential
FBgn0029704,,1,347,NE,Nonessential
FBgn0029705,,1,347,NE,Nonessential
FBgn0029706,,1,347,NE,Nonessential
FBgn0029707,,1,347,NE,Nonessential
FBgn0029708,,1,347,NE,Nonessential
FBgn0029709,,1,347,NE,Nonessential
FBgn0029710,,1,347,NE,Nonessential
FBgn0029711,,1,347,NE,Nonessential
FBgn0029712,,1,347,NE,Nonessential
FBgn0029713,,1,347,NE,Nonessential
FBgn0029714,,1,347,NE,Nonessential
FBgn0029715,,1,347,NE,Nonessential
FBgn0029716,,1,347,NE,Nonessential
FBgn0029717,,1,347,NE,Nonessential
FBgn0029718,,1,347,NE,Nonessential
FBgn0029719,,2,"347,363","NE,NE",Nonessential
FBgn0029720,,1,347,NE,Nonessential
FBgn0029722,,1,347,NE,Nonessential
FBgn0029723,,1,347,NE,Nonessential
FBgn0029724,,1,347,NE,Nonessential
FBgn0029725,,1,347,NE,Nonessential
FBgn0029726,,1,347,NE,Nonessential
FBgn0029727,,1,347,NE,Nonessential
FBgn0029728,,1,347,NE,Nonessential
FBgn0029729,,1,347,NE,Nonessential
FBgn0029730,,1,347,NE,Nonessential
FBgn0029733,,1,347,NE,Nonessential
FBgn0029736,,1,347,NE,Nonessential
FBgn0029737,,1,347,NE,Nonessential
FBgn0029738,,1,347,NE,Nonessential
FBgn0029740,,1,347,NE,Nonessential
FBgn0029745,,1,347,NE,Nonessential
FBgn0029746,,1,347,NE,Nonessential
FBgn0029747,,1,347,NE,Nonessential
FBgn0029748,,1,347,NE,Nonessential
FBgn0029749,,1,347,NE,Nonessential
FBgn0029750,,1,347,NE,Nonessential
FBgn0029751,,1,347,NE,Nonessential
FBgn0029752,,1,347,NE,Nonessential
FBgn0029753,,1,347,NE,Nonessential
FBgn0029754,,1,347,NE,Nonessential
FBgn0029755,,1,347,NE,Nonessential
FBgn0029756,,1,347,NE,Nonessential
FBgn0029761,,1,347,NE,Nonessential
FBgn0029762,,1,347,NE,Nonessential
FBgn0029763,,1,347,NE,Nonessential
FBgn0029764,,1,347,NE,Nonessential
FBgn0029765,,1,347,NE,Nonessential
FBgn0029766,,1,347,NE,Nonessential
FBgn0029768,,2,"347,363","NE,NE",Nonessential
FBgn0029769,,1,347,NE,Nonessential
FBgn0029770,,1,347,NE,Nonessential
FBgn0029771,,1,347,NE,Nonessential
FBgn0029775,,1,347,E,Essential
FBgn0029778,,1,347,NE,Nonessential
FBgn0029783,,1,347,NE,Nonessential
FBgn0029785,,1,347,NE,Nonessential
FBgn0029789,,1,347,NE,Nonessential
FBgn0029791,,1,347,NE,Nonessential
FBgn0029795,,1,347,NE,Nonessential
FBgn0029798,,1,347,NE,Nonessential
FBgn0029799,,1,347,NE,Nonessential
FBgn0029800,,1,347,NE,Nonessential
FBgn0029801,,1,347,NE,Nonessential
FBgn0029803,,1,347,NE,Nonessential
FBgn0029804,,1,347,NE,Nonessential
FBgn0029807,,1,347,NE,Nonessential
FBgn0029808,,1,347,NE,Nonessential
FBgn0029809,,1,347,NE,Nonessential
FBgn0029810,,1,347,NE,Nonessential
FBgn0029811,,2,"347,363","NE,NE",Nonessential
FBgn0029812,,1,347,NE,Nonessential
FBgn0029813,,1,347,NE,Nonessential
FBgn0029814,,1,347,NE,Nonessential
